,,,,,,,,,,
,,,,,,,,,,
category ID,cat_code,category1_ru,category2_ru,category3_ru,category4_ru,category5_ru,category6_ru,comm FBO %,comm FBS %,comm DBS%
2690,Красота и уходМаникюр и педикюрНаборы для маникюра и педикюра,Красота и уход,Маникюр и педикюр,Наборы для маникюра и педикюра,,,,25%,25%,25%
2691,Красота и уходМаникюр и педикюрПраймеры и обезжириватели,Красота и уход,Маникюр и педикюр,Праймеры и обезжириватели,,,,25%,25%,25%
2693,Красота и уходМаникюр и педикюрИнструменты для маникюраАксессуары для маникюра и педикюра,Красота и уход,Маникюр и педикюр,Инструменты для маникюра,Аксессуары для маникюра и педикюра,,,25%,25%,25%
2694,ЗдоровьеМедицинские изделия и расходные материалыМаски гигиенические и медицинские,Здоровье,Медицинские изделия и расходные материалы,Маски гигиенические и медицинские,,,,20%,20%,20%
2696,ЗдоровьеМедицинские изделия и расходные материалыПеревязочные материалыПластыри,Здоровье,Медицинские изделия и расходные материалы,Перевязочные материалы,Пластыри,,,20%,20%,20%
2697,ЗдоровьеМедицинские изделия и расходные материалыПеревязочные материалыБинты,Здоровье,Медицинские изделия и расходные материалы,Перевязочные материалы,Бинты,,,20%,20%,20%
2698,ЗдоровьеМедицинские изделия и расходные материалыПеревязочные материалыМарли,Здоровье,Медицинские изделия и расходные материалы,Перевязочные материалы,Марли,,,20%,20%,20%
2699,ЗдоровьеМедицинские изделия и расходные материалыПеревязочные материалыВата,Здоровье,Медицинские изделия и расходные материалы,Перевязочные материалы,Вата,,,20%,20%,20%
2702,"ЗдоровьеМедицинские изделия и расходные материалыГели, мази",Здоровье,Медицинские изделия и расходные материалы,"Гели, мази",,,,30%,30%,30%
2703,ЗдоровьеМедицинские изделия и расходные материалыГрелки,Здоровье,Медицинские изделия и расходные материалы,Грелки,,,,30%,30%,30%
2705,ЗдоровьеМедицинские изделия и расходные материалыРасходные материалыОдноразовая одежда,Здоровье,Медицинские изделия и расходные материалы,Расходные материалы,Одноразовая одежда,,,20%,20%,20%
2706,"ЗдоровьеМедицинские изделия и расходные материалыРасходные материалыШприцы, инъекторы, пипетки, дозаторы",Здоровье,Медицинские изделия и расходные материалы,Расходные материалы,"Шприцы, инъекторы, пипетки, дозаторы",,,20%,20%,20%
2707,"ЗдоровьеМедицинские изделия и расходные материалыРасходные материалыКонтейнеры для анализов, губки, жгуты, мерные стаканы медицинские",Здоровье,Медицинские изделия и расходные материалы,Расходные материалы,"Контейнеры для анализов, губки, жгуты, мерные стаканы медицинские",,,30%,30%,30%
2709,ЗдоровьеМедицинские изделия и расходные материалыМедицинские инструменты,Здоровье,Медицинские изделия и расходные материалы,Медицинские инструменты,,,,20%,20%,20%
2710,Бытовая химияЧистящие и моющие средстваСредства от засоров,Бытовая химия,Чистящие и моющие средства,Средства от засоров,,,,17%,17%,17%
2711,ЗдоровьеВитамины и БАДыВитамины А и Е,Здоровье,Витамины и БАДы,Витамины А и Е,,,,19%,19%,19%
2712,"Дача, сад и огородУход за растениямиУкрывной материал и пленки","Дача, сад и огород",Уход за растениями,Укрывной материал и пленки,,,,20%,20%,20%
2713,"Дача, сад и огородУход за растениямиЗащита от болезней","Дача, сад и огород",Уход за растениями,Защита от болезней,,,,25%,25%,25%
2714,"Дача, сад и огородУход за растениямиЗащита от сорняков","Дача, сад и огород",Уход за растениями,Защита от сорняков,,,,25%,25%,25%
2715,"Дача, сад и огородУход за растениямиОпоры и подвязки для растений","Дача, сад и огород",Уход за растениями,Опоры и подвязки для растений,,,,25%,25%,25%
2716,"Дача, сад и огородУход за растениямиОпрыскиватели и аксессуары","Дача, сад и огород",Уход за растениями,Опрыскиватели и аксессуары,,,,25%,25%,25%
2718,"Дача, сад и огородОбустройство дачи и садаКомпостеры и активаторы компоста","Дача, сад и огород",Обустройство дачи и сада,Компостеры и активаторы компоста,,,,20%,20%,20%
2719,"Дача, сад и огородОбустройство дачи и садаСадовые светильники","Дача, сад и огород",Обустройство дачи и сада,Садовые светильники,,,,30%,30%,30%
2722,"Дача, сад и огородОбустройство дачи и садаАнтимоскитные сетки","Дача, сад и огород",Обустройство дачи и сада,Антимоскитные сетки,,,,30%,30%,30%
2723,"Дача, сад и огородОбустройство дачи и садаСадовые дорожки и ограждения","Дача, сад и огород",Обустройство дачи и сада,Садовые дорожки и ограждения,,,,20%,20%,20%
