category ID,cat_code,category1_ru,category2_ru,category3_ru,category4_ru,category5_ru,category6_ru,comm FBO %,comm FBS %,comm DBS%
2600,KiyimAyollar kiyimiChoʻmilish va plyaj kiyimlariPlaj liboslari va tunikalar,Kiyim,Ayollar kiyimi,Choʻmilish va plyaj kiyimlari,Plaj liboslari va tunikalar,,,25%,25%,25%
2601,KiyimAyollar kiyimiIchki kiyimMaykalar va ichki kiyimli toplar,Kiyim,Ayollar kiyimi,Ichki kiyim,Maykalar va ichki kiyimli toplar,,,25%,25%,25%
2603,KiyimErkaklar kiyimiUy kiyimiUy uchun kombinezonlar,Kiyim,Erkaklar kiyimi,Uy kiyimi,Uy uchun kombinezonlar,,,25%,25%,25%
2605,KiyimOʻgʻil bolalar uchun kiyimlarPaypoqlarKolgotkilar,Kiyim,Oʻgʻil bolalar uchun kiyimlar,Paypoqlar,Kolgotkilar,,,25%,25%,25%
2607,AksessuarlarAyollar aksessuarlariSoatlar va qayishlarSoat,Aksessuarlar,Ayollar aksessuarlari,Soatlar va qayishlar,Soat,,,25%,25%,25%
2608,AksessuarlarAyollar aksessuarlariSoatlar va qayishlarSoatlar uchun qayishlar,Aksessuarlar,Ayollar aksessuarlari,Soatlar va qayishlar,Soatlar uchun qayishlar,,,30%,30%,30%
2610,AksessuarlarErkaklar aksessuarlariSoatlar va qayishlarSoat,Aksessuarlar,Erkaklar aksessuarlari,Soatlar va qayishlar,Soat,,,25%,25%,25%
2611,Qurilish va taʼmirlashMateriallar va jihozlarUskunalarJihozlar,Qurilish va taʼmirlash,Materiallar va jihozlar,Uskunalar,Jihozlar,Asboblar uchun materiallar,,22%,22%,22%
2614,Kanselyariya tovarlariMaktab va oʻqish uchun tovarlarPenallar,Kanselyariya tovarlari,Maktab va oʻqish uchun tovarlar,Penallar,,,,20%,20%,20%
2615,AvtotovarlarAksessuarlar va jihozlarBoshqa avtomobil aksessuarlari,Avtotovarlar,Aksessuarlar va jihozlar,Boshqa avtomobil aksessuarlari,,,,25%,25%,25%
2622,Qurilish va taʼmirlashYoritishChiroqi musiqa,Qurilish va taʼmirlash,Yoritish,Chiroqi musiqa,,,,25%,25%,25%
"2625,""Sport va hordiqTabiat qoʻynida dam olish, baliq ovi va ovTurizm va ochiq havoda dam olishTurizm va dam olish uchun aksessuarlar"",Sport va hordiq,""Tabiat qoʻynida dam olish, baliq ovi va ov"",Turizm va ochiq havoda dam olish,Turizm va dam olish uchun aksessuarlar,,,25%,25%,25%"
